custcode,Año,Trimestre,Mes,Día,Tipo_Cliente,Total abono,declinecause,saldo,Baja
464094,2019,Trim. 1,marzo,21,Residencial,0,NOUSA,0,0
464098,2016,Trim. 3,agosto,23,Residencial,0,RAZON,319.4,0
464100,2016,Trim. 2,junio,15,Residencial,643.48,CIERR,1557.22,1
464101,2016,Trim. 3,julio,6,Residencial,1401.06,CIERR,0,1
464101,2016,Trim. 1,marzo,4,Residencial,1401.06,INCOB,5520.63,1
464112,2017,Trim. 2,mayo,24,Residencial,0,CIERR,349.53,0
464112,2017,Trim. 3,septiembre,22,Residencial,631.21,NOUSA,763.76,1
464112,2016,Trim. 2,mayo,18,Residencial,0,PROEC,0,0
464112,2017,Trim. 1,enero,9,Residencial,0,PROEC,0,0
464113,2019,Trim. 1,enero,24,Residencial,785.07,CIERR,0,1
464114,2015,Trim. 4,octubre,26,Residencial,304,DISCO,756.96,1
464115,2015,Trim. 3,septiembre,30,Residencial,475.98,NOUSA,653.03,1
464122,2016,Trim. 3,septiembre,13,Residencial,425.79,CIERR,530.11,1
464124,2016,Trim. 1,marzo,30,Residencial,0,PROEC,0,0
464124,2016,Trim. 2,mayo,6,Residencial,0,RAZON,0,0
464139,2019,Trim. 4,diciembre,21,Residencial,0,PROEC,-521.64,0
464146,2016,Trim. 1,enero,4,Residencial,299.17,INCOB,904.99,1
464153,2018,Trim. 3,septiembre,3,Residencial,0,RAZON,0,0
464159,2016,Trim. 3,agosto,17,Residencial,0,CIERR,0,0
464160,2016,Trim. 4,octubre,20,Residencial,365.29,CIERR,0,1
464161,2017,Trim. 2,abril,27,Residencial,0,RAZON,0,0
464164,2019,Trim. 3,agosto,28,Residencial,1802.3,PROEC,0,1
464165,2019,Trim. 3,agosto,28,Residencial,256.2,PROEC,0,1
464170,2019,Trim. 2,junio,24,Residencial,959.45,MUDAN,0,1
464178,2016,Trim. 4,diciembre,12,Residencial,0,MUDAN,0,0
464178,2017,Trim. 4,octubre,11,Residencial,0,RAZON,0,0
464182,2017,Trim. 1,enero,2,Residencial,401.82,CIERR,0,1
464183,2016,Trim. 1,marzo,23,Residencial,269.25,CIERR,0,1
464185,2015,Trim. 4,octubre,1,Residencial,0,DISCO,0,0
464185,2016,Trim. 2,junio,28,Residencial,0,RAZON,0,0
464187,2019,Trim. 1,enero,24,Residencial,0,RAZON,-51.84,0
464194,2016,Trim. 1,febrero,25,Residencial,0,MUDAN,0,0
464195,2018,Trim. 3,julio,23,Residencial,594.03,MUDAN,0,1
464205,2016,Trim. 2,abril,4,Residencial,482,MUDAN,648.09,1
464209,2017,Trim. 3,septiembre,25,Residencial,631.21,CIERR,0,1
464211,2017,Trim. 3,septiembre,12,Residencial,631.21,REFOR,0,1
464219,2017,Trim. 4,diciembre,29,Residencial,0,CAMBI,-73.49,0
464220,2016,Trim. 1,marzo,16,Residencial,364.6,CIERR,453.93,1
464227,2016,Trim. 1,febrero,22,Residencial,359.2,PROEC,869.26,1
464229,2019,Trim. 2,junio,12,Residencial,,CIERR,0,1
464230,2018,Trim. 3,agosto,24,Residencial,,CIERR,0,1
464231,2017,Trim. 1,febrero,10,Residencial,,CIERR,0,1
464233,2019,Trim. 1,enero,10,Residencial,242.32,CIERR,0,1
464234,2019,Trim. 1,enero,10,Residencial,253.10000000000002,CIERR,0,1
464235,2017,Trim. 1,febrero,10,Residencial,261.17,CIERR,0,1
464236,2018,Trim. 3,agosto,31,Residencial,0,PROEC,534.29,0
464240,2017,Trim. 1,febrero,10,Residencial,261.17,CIERR,0,1
464241,2016,Trim. 2,mayo,3,Residencial,0,RAZON,0,0
464248,2016,Trim. 3,agosto,19,Residencial,0,PROEC,0,0
464248,2018,Trim. 4,noviembre,23,Residencial,0,PROEC,0,0
464256,2016,Trim. 3,julio,27,Residencial,0,EVENT,0,0
464256,2018,Trim. 1,enero,31,Residencial,2159.7,PROEC,7543.84,1
464259,2016,Trim. 1,enero,6,Residencial,299.17,CIERR,0,1
464260,2017,Trim. 3,julio,12,Residencial,,CIERR,0,1
464265,2016,Trim. 2,abril,25,Residencial,413.3,CIERR,0,1
464268,2019,Trim. 3,julio,23,Residencial,1131.9,CIERR,0,1
464271,2018,Trim. 1,febrero,6,Residencial,0,CAMEM,797.05,0
464271,2019,Trim. 3,agosto,5,Residencial,904.96,CIERR,1095,1
464271,2019,Trim. 2,junio,6,Residencial,0,PROEC,1395.52,0
464272,2016,Trim. 3,julio,7,Residencial,583.47,PROEC,726.42,1
464280,2017,Trim. 4,octubre,26,Residencial,0,DISCO,704.22,0
464280,2017,Trim. 3,julio,5,Residencial,0,NOUSA,0,0
464280,2018,Trim. 2,abril,16,Residencial,582,NOUSA,0,1
464281,2018,Trim. 4,noviembre,6,Residencial,798,DISCO,0,1
464282,2018,Trim. 1,enero,22,Residencial,512.83,NOUSA,620.52,1
464282,2017,Trim. 3,septiembre,28,Residencial,0,PROEC,1205.92,0
464290,2016,Trim. 1,marzo,4,Residencial,0,INCOB,1028.07,0
464290,2016,Trim. 3,julio,25,Residencial,299.17,NOUSA,0,1
464291,2017,Trim. 3,agosto,23,Residencial,0,DISCO,0,0
464291,2017,Trim. 4,octubre,6,Residencial,0,DISCO,0,0
